filename,module_name,module_params,execution_time,retrieval_precision,retrieval_recall,retrieval_f1,is_best
0.parquet,VectorDB,"{'top_k': 2, 'vectordb': 'nomic_embed'}",0.013957124948501588,0.72,0.835,0.7583333333333334,False
1.parquet,VectorDB,"{'top_k': 3, 'vectordb': 'nomic_embed'}",0.010543465614318848,0.6666666666666665,0.845,0.723,False
2.parquet,VectorDB,"{'top_k': 2, 'vectordb': 'mxbai_embed'}",0.026626205444335936,0.8075,0.88,0.8316666666666666,True
3.parquet,VectorDB,"{'top_k': 3, 'vectordb': 'mxbai_embed'}",0.01797592043876648,0.7766666666666666,0.905,0.8190000000000001,False
